epoch 38 | iter 200      | loss 5881.
epoch 38 | iter 250      | loss 5443.
epoch 38 | iter 300      | loss 5688.
epoch 38 | iter 350      | loss 5670.
epoch 39 | iter 0        | loss 5931.
epoch 39 | iter 50       | loss 6094.
epoch 39 | iter 100      | loss 5673.
epoch 39 | iter 150      | loss 5845.
epoch 39 | iter 200      | loss 6186.
epoch 39 | iter 250      | loss 5790.
epoch 39 | iter 300      | loss 6157.
epoch 39 | iter 350      | loss 6127.
epoch 40 | iter 0        | loss 6127.
epoch 40 | iter 50       | loss 6124.
epoch 40 | iter 100      | loss 5897.
epoch 40 | iter 150      | loss 6451.
epoch 40 | iter 200      | loss 5976.
epoch 40 | iter 250      | loss 6040.
epoch 40 | iter 300      | loss 5807.
epoch 40 | iter 350      | loss 5642.
epoch 41 | iter 0        | loss 5952.
epoch 41 | iter 50       | loss 5495.
epoch 41 | iter 100      | loss 6233.
epoch 41 | iter 150      | loss 5882.
epoch 41 | iter 200      | loss 6518.
epoch 41 | iter 250      | loss 6343.
epoch 41 | iter 300      | loss 6931.
epoch 41 | iter 350      | loss 6246.
epoch 42 | iter 0        | loss 6296.
epoch 42 | iter 50       | loss 6308.
epoch 42 | iter 100      | loss 5968.
epoch 42 | iter 150      | loss 6815.
epoch 42 | iter 200      | loss 6433.
epoch 42 | iter 250      | loss 6648.
epoch 42 | iter 300      | loss 6546.
